name,ats_type,careers_url,industry,sponsorship_history,english_friendly,remote_score
Reperio Human Capital,official_careers,https://www.reperiohumancapital.com/,Recruitment,70,80,35
Retool,official_careers,https://retool.com/careers#open-positions,Developer Tools,80,95,80
Revolut,official_careers,https://www.revolut.com/careers/,Fintech,85,90,65
Robert Walters Germany,official_careers,https://www.robertwalters.de/en/jobs.html,Recruitment,70,80,35
Robert Walters Ireland,official_careers,https://www.robertwalters.ie/jobs.html,Recruitment,70,80,35
Robert Walters Netherlands,official_careers,https://www.robertwalters.nl/vacatures.html?q=,Recruitment,70,85,35
Rows,official_careers,https://www.rowspace.ai/careers,SaaS,75,90,80
SAP,official_careers,https://jobs.sap.com/search/,Enterprise,80,80,55
Scorewarrior,official_careers,https://scorewarrior.com/careers,Gaming,75,85,70
Shopify,official_careers,https://www.shopify.com/careers,E-Commerce,85,95,95
Siemens,official_careers,https://jobs.siemens.com/en_US/externaljobs/SearchJobs,Engineering,80,75,50
Sigmar Recruitment,official_careers,https://www.sigmarrecruitment.com/job-search/,Recruitment,70,80,35
Skyscanner,official_careers,https://www.skyscanner.co.in/jobs/current-jobs,Travel,80,85,60
Spendesk,official_careers,https://spendesk.jobs.personio.com,Fintech,75,85,65
Spotify,official_careers,https://www.lifeatspotify.com/jobs,Media,90,95,75
Stellantis,official_careers,https://careers.stellantis.com/job-search-results/,Automotive/Manufacturing,45,70,55
Stripe,official_careers,https://stripe.com/jobs/search,Fintech,90,95,75
SumUp,official_careers,https://www.sumup.com/careers/positions/,Fintech,85,90,60
Talentor Germany,official_careers,https://talentor.com/jobs,Recruitment,70,80,35
Teamtailor,official_careers,https://career.teamtailor.com/jobs,HR Tech,75,90,65
TIM,official_careers,https://timretailrecruiting.gruppotim.it/,Telecom,30,70,65
Understanding Recruitment,official_careers,https://www.understandingrecruitment.com/,Recruitment,70,85,35
Undutchables,official_careers,https://undutchables.nl/vacancies,Recruitment,70,85,45
UniCredit,official_careers,https://careers.unicredit.eu/,Banking/Finance,30,70,60
Veriff,official_careers,https://www.veriff.com/careers/open-positions,SaaS,75,90,65
Voi Technology,official_careers,https://careers.voi.com/jobs,Mobility,75,85,50
Wise,official_careers,https://wise.jobs/jobs,Fintech,85,95,85
